/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
当前 TCP: [0.5304, -0.1147, 0.5499] | 姿态(rx,ry,rz rad): [-1.2688, 2.8112, 0.5076]
FK 一致度: 0.002462 m / 0.004510 rad (门禁 0.010 m / 0.020 rad) -> PASS
访问顺序（关节空间最近邻）: [9, 17, 18, 19, 10, 1, 25, 20, 21, 22, 13, 2, 3, 4, 5, 6, 7, 8, 14, 12, 11, 26, 16, 15, 24, 23]
当前位姿最小奇异值 0.3024（作为奇异度基线）

slot 段          段序              IKpos_mm  rot_mrad      关节余量      最小奇异      法兰z 结论
11   lift       reorient_first    0.0000    0.0000    0.4969    0.2408   0.2527 PASS
11   reorient   reorient_first    0.0000    0.0000    0.4969    0.2408   0.5500 PASS
11   translate  reorient_first    0.0000    0.0000    0.5217    0.2465   0.5500 PASS
11   descend    reorient_first    0.0000    0.0000    0.5309    0.2555   0.2524 PASS
11   SUMMARY    reorient_first         -         -         -         -        - PASS
26   lift       reorient_first    0.0000    0.0000    0.5309    0.2555   0.2524 PASS
26   reorient   reorient_first    0.0000    0.0000    0.5309    0.2430   0.5500 PASS
26   translate  reorient_first    0.0000    0.0000    0.5715    0.2438   0.5500 PASS
26   descend    reorient_first    0.0000    0.0000    0.9447    0.2908   0.2599 PASS
26   SUMMARY    reorient_first         -         -         -         -        - PASS
16   lift       reorient_first    0.0000    0.0000    0.9447    0.2908   0.2599 PASS
16   reorient   reorient_first    0.0000    0.0000    0.7742    0.2359   0.5500 PASS
16   translate  reorient_first    0.0000    0.0000    0.7742    0.1804   0.5500 PASS
16   descend    reorient_first    0.0000    0.0000    0.6580    0.1804   0.2590 PASS
16   SUMMARY    reorient_first         -         -         -         -        - PASS
15   lift       reorient_first    0.0000    0.0000    0.6580    0.1804   0.2590 PASS
15   reorient   reorient_first    0.0000    0.0000    0.6510    0.1276   0.5500 PASS
15   translate  reorient_first    0.0000    0.0000    0.6510    0.0641   0.5500 PASS
15   descend    reorient_first    0.0000    0.0000    0.3486    0.0633   0.2584 PASS
15   SUMMARY    reorient_first         -         -         -         -        - PASS
24   lift       reorient_first    0.0000    0.0000    0.3486    0.0633   0.2584 PASS
24   reorient   reorient_first    0.0000    0.0000    0.7236    0.0641   0.5500 PASS
24   translate  reorient_first    0.0000    0.0000    0.7950    0.0961   0.5500 PASS
24   descend    reorient_first    0.0000    0.0000    0.5208    0.0949   0.3556 PASS
24   SUMMARY    reorient_first         -         -         -         -        - PASS
23   lift       reorient_first    0.0000    0.0000    0.5208    0.0949   0.3556 PASS
23   reorient   reorient_first    0.0000    0.0000    0.7950    0.0901   0.5500 PASS
23   translate  reorient_first    0.0000    0.0000    0.8851    0.0831   0.5500 PASS
23   descend    reorient_first    0.0000    0.0000    0.7967    0.1010   0.4280 PASS
23   RESCUE     roll +15 deg           -         -         -         -        - PASS 绕光轴转 +15° 后整链通过
23   SUMMARY    reorient_first         -         -         -         -        - PASS

离线数值门禁: PASS
注意：本门禁不证明无碰撞（仓库无场景模型）；避障依靠抬升-平移-下降结构与高于台面所有物体的巡航高度，仍需人眼确认。
OUTPUT: outputs/vision/gate-half.json
