/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
当前 TCP: [0.6475, -0.2685, 0.326] | 姿态(rx,ry,rz rad): [1.9352, -2.3646, -0.0002]
FK 一致度: 0.002599 m / 0.004389 rad (门禁 0.010 m / 0.020 rad) -> PASS
访问顺序（关节空间最近邻）: [5, 4, 3, 2, 22, 13, 21, 20, 1, 25, 19, 18, 10, 14, 8, 7, 6, 12, 11, 26, 16, 24, 23, 15, 9, 17]
当前位姿最小奇异值 0.3177（作为奇异度基线）

slot 段          段序              IKpos_mm  rot_mrad      关节余量      最小奇异      法兰z 结论
16   translate  reorient_first    0.0000    0.0000    0.7742    0.1804   0.5500 PASS
16   descend    reorient_first    0.0000    0.0000    0.6580    0.1804   0.2590 PASS
16   SUMMARY    reorient_first         -         -         -         -        - PASS
24   lift       reorient_first    0.0000    0.0000    0.6580    0.1804   0.2590 PASS
24   reorient   reorient_first    0.0000    0.0000    0.8969    0.1804   0.5500 PASS
24   translate  reorient_first    0.0000    0.0000    0.7950    0.0961   0.5500 PASS
24   descend    reorient_first    0.0000    0.0000    0.5208    0.0949   0.3556 PASS
24   SUMMARY    reorient_first         -         -         -         -        - PASS
23   lift       reorient_first    0.0000    0.0000    0.5208    0.0949   0.3556 PASS
23   reorient   reorient_first    0.0000    0.0000    0.7950    0.0901   0.5500 PASS
23   translate  reorient_first    0.0000    0.0000    0.8851    0.0831   0.5500 PASS
23   descend    reorient_first    0.0000    0.0000    0.7967    0.1010   0.4280 PASS
23   RESCUE     roll +15 deg           -         -         -         -        - PASS 绕光轴转 +15° 后整链通过
23   SUMMARY    reorient_first         -         -         -         -        - PASS
15   lift       translate_first   0.0000    0.0000    0.7967    0.1010   0.4280 PASS
15   translate  translate_first   0.0000    0.0000    0.9286    0.0962   0.5500 PASS
15   reorient   translate_first   0.0000    0.0000    0.7236    0.0641   0.5500 PASS
15   descend    translate_first   0.0000    0.0000    0.3486    0.0633   0.2584 PASS
15   SUMMARY    translate_first        -         -         -         -        - PASS
9    lift       translate_first   0.0000    0.0000    0.3486    0.0633   0.2584 PASS
9    translate  translate_first   0.0000    0.0000    0.4720    0.0639   0.5500 PASS
9    reorient   translate_first   0.0000    0.0000    0.2135    0.1757   0.5500 PASS
9    descend    translate_first   0.0000    0.0000    0.2135    0.2368   0.3756 PASS
9    RESCUE     roll +90 deg           -         -         -         -        - PASS 绕光轴转 +90° 后整链通过
9    SUMMARY    translate_first        -         -         -         -        - PASS
17   lift       reorient_first    0.0000    0.0000    0.2135    0.2368   0.3756 PASS
17   reorient   reorient_first    0.0000    0.0000    0.2135    0.2371   0.5500 PASS
17   translate  reorient_first    0.0000    0.0000    0.1694    0.2557   0.5500 PASS
17   descend    reorient_first    0.0000    0.0000    0.1694    0.2880   0.4659 PASS
17   RESCUE     roll +90 deg           -         -         -         -        - PASS 绕光轴转 +90° 后整链通过
17   SUMMARY    reorient_first         -         -         -         -        - PASS

离线数值门禁: PASS
注意：本门禁不证明无碰撞（仓库无场景模型）；避障依靠抬升-平移-下降结构与高于台面所有物体的巡航高度，仍需人眼确认。
OUTPUT: outputs/vision/gate-half-resume2.json
