elapsed_s,wall_time_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,tcp_x_m,tcp_y_m,tcp_z_m,tcp_rx_rad,tcp_ry_rad,tcp_rz_rad,tcp_vx_m_s,tcp_vy_m_s,tcp_vz_m_s,tcp_wx_rad_s,tcp_wy_rad_s,tcp_wz_rad_s
9.593808957,1789526649.948405027,-0.114194218,-1.763760869,-1.614159886,-4.646357719,4.748853207,-3.274196450,0.521446535,-0.226059240,0.523846833,2.151385851,-2.098420859,-0.171666882,0.000010125,0.000008104,0.000031678,0.000320729,-0.000110826,-0.000036959
9.601812031,1789526649.956407785,-0.114170376,-1.763773266,-1.614183728,-4.646405641,4.748853207,-3.274196450,0.521448539,-0.226046459,0.523836154,2.151370666,-2.098352696,-0.171761595,0.000013015,0.000014770,0.000031677,0.000320732,-0.000110818,-0.000024204
9.609786587,1789526649.964382410,-0.114157979,-1.763809029,-1.614171807,-4.646381799,4.748793125,-3.274196450,0.521470095,-0.226036558,0.523818511,2.151409296,-2.098375235,-0.171818599,0.000013016,0.000014769,0.000031679,0.000320733,-0.000110818,-0.000024204
9.617798774,1789526649.972394705,-0.114194218,-1.763785187,-1.614124123,-4.646369640,4.748828888,-3.274208609,0.521462780,-0.226058842,0.523850309,2.151409460,-2.098422649,-0.171692293,0.000013014,0.000014769,0.000031679,0.000320729,-0.000110827,-0.000024176
9.625828349,1789526649.980424166,-0.114170376,-1.763797108,-1.614159886,-4.646357719,4.748828888,-3.274220530,0.521466400,-0.226046217,0.523827054,2.151429756,-2.098366140,-0.171732372,0.000013016,0.000014769,0.000031678,0.000320731,-0.000110820,-0.000024188
9.633824910,1789526649.988420963,-0.114182297,-1.763797108,-1.614171807,-4.646369640,4.748816967,-3.274208609,0.521460544,-0.226050977,0.523823488,2.151398770,-2.098387161,-0.171771419,0.000013016,0.000014769,0.000031678,0.000320730,-0.000110824,-0.000024196
9.641832264,1789526649.996428013,-0.114157979,-1.763797108,-1.614147965,-4.646393720,4.748805046,-3.274232451,0.521469317,-0.226037570,0.523836726,2.151454412,-2.098342341,-0.171783190,0.000013015,0.000014769,0.000031679,0.000320733,-0.000110817,-0.000024196
9.649782629,1789526650.004378319,-0.114170376,-1.763773266,-1.614159886,-4.646393720,4.748816967,-3.274232451,0.521454598,-0.226043776,0.523844651,2.151442241,-2.098354780,-0.171759085,0.000012830,0.000013013,0.000031736,0.000301949,-0.000108737,-0.000020943
9.657819629,1789526650.012415409,-0.114157979,-1.763809029,-1.614208047,-4.646405641,4.748816967,-3.274208609,0.521460782,-0.226037730,0.523806244,2.151384029,-2.098318495,-0.171866076,0.000012647,0.000011256,0.000031793,0.000283169,-0.000106650,-0.000017721
9.665806263,1789526650.020402193,-0.114157979,-1.763809029,-1.614183728,-4.646381799,4.748828888,-3.274232451,0.521467318,-0.226039561,0.523813542,2.151427267,-2.098310371,-0.171801405,0.000018241,0.000022831,0.000031850,0.000264387,-0.000104565,0.000011109
9.673905436,1789526650.028502226,-0.114194218,-1.763820950,-1.614183728,-4.646381799,4.748793125,-3.274184529,0.521464155,-0.226055720,0.523806953,2.151348493,-2.098416160,-0.171848622,0.000018057,0.000021074,0.000031909,0.000245601,-0.000102493,0.000014357
9.681809601,1789526650.036405563,-0.114206139,-1.763797108,-1.614147965,-4.646345798,4.748805046,-3.274208609,0.521461823,-0.226063045,0.523830512,2.151402108,-2.098444453,-0.171730372,0.000017871,0.000019317,0.000031967,0.000226816,-0.000100411,0.000017630
9.689831057,1789526650.044426918,-0.114157979,-1.763773266,-1.614171807,-4.646381799,4.748793125,-3.274196450,0.521456041,-0.226034944,0.523837958,2.151426022,-2.098392824,-0.171777226,0.000017870,0.000019318,0.000031967,0.000226821,-0.000100400,0.000017621
9.697830351,1789526650.052426338,-0.114182297,-1.763773266,-1.614099805,-4.646357719,4.748853207,-3.274244372,0.521466361,-0.226054964,0.523865674,2.151472338,-2.098381353,-0.171615580,0.000017683,0.000017561,0.000032025,0.000208035,-0.000098318,0.000020891
9.705875601,1789526650.060471535,-0.114182297,-1.763809029,-1.614136044,-4.646369640,4.748840809,-3.274208609,0.521472297,-0.226054521,0.523832304,2.151399612,-2.098384604,-0.171720874,0.000017500,0.000015805,0.000032081,0.000189255,-0.000096235,0.000024122
9.713771938,1789526650.068367958,-0.114182297,-1.763773266,-1.614147965,-4.646357719,4.748805046,-3.274220530,0.521456999,-0.226049446,0.523845023,2.151444783,-2.098411364,-0.171715329,0.000017500,0.000015805,0.000032082,0.000189253,-0.000096237,0.000024130
9.721832127,1789526650.076427937,-0.114170376,-1.763797108,-1.614124123,-4.646369640,4.748805046,-3.274220530,0.521473084,-0.226044764,0.523843755,2.151451326,-2.098392247,-0.171727947,0.000017314,0.000014048,0.000032140,0.000170473,-0.000094151,0.000027376
9.729890196,1789526650.084486246,-0.114218060,-1.763809029,-1.614147965,-4.646405641,4.748805046,-3.274172608,0.521459576,-0.226069348,0.523831790,2.151317462,-2.098459571,-0.171810760,0.000017316,0.000014047,0.000032139,0.000167161,-0.000094436,0.000008478
9.737871499,1789526650.092467785,-0.114194218,-1.763785187,-1.614136044,-4.646369640,4.748769283,-3.274196450,0.521460922,-0.226053108,0.523845055,2.151416555,-2.098465303,-0.171762502,0.000017315,0.000014048,0.000032141,0.000167162,-0.000094433,0.000008491
9.745823906,1789526650.100419521,-0.114157979,-1.763797108,-1.614136044,-4.646357719,4.748793125,-3.274220530,0.521474413,-0.226037023,0.523837098,2.151469024,-2.098385675,-0.171738220,0.000017130,0.000012292,0.000032198,0.000148384,-0.000092343,0.000011739
9.753823702,1789526650.108419657,-0.114170376,-1.763785187,-1.614159886,-4.646405641,4.748781204,-3.274208609,0.521458784,-0.226040948,0.523839607,2.151420749,-2.098389331,-0.171818818,0.000017130,0.000012292,0.000032197,0.000148383,-0.000092345,0.000011730
9.761803791,1789526650.116399527,-0.114170376,-1.763809029,-1.614147965,-4.646345798,4.748828888,-3.274196450,0.521474361,-0.226047118,0.523824101,2.151409182,-2.098397123,-0.171716200,0.000017131,0.000012292,0.000032197,0.000148383,-0.000092343,0.000011737
9.769823575,1789526650.124419212,-0.114146058,-1.763797108,-1.614147965,-4.646345798,4.748805046,-3.274208609,0.521475404,-0.226031715,0.523830512,2.151462938,-2.098377670,-0.171724247,0.000016945,0.000010535,0.000032255,0.000129602,-0.000090257,0.000014988
9.777798968,1789526650.132394791,-0.114182297,-1.763809029,-1.614136044,-4.646381799,4.748793125,-3.274208609,0.521471896,-0.226050061,0.523833738,2.151414653,-2.098407287,-0.171781061,0.000016945,0.000010535,0.000032255,0.000129600,-0.000090262,0.000014983
9.785775577,1789526650.140372038,-0.114157979,-1.763760869,-1.614136044,-4.646369640,4.748816967,-3.274220530,0.521459097,-0.226037481,0.523858422,2.151470057,-2.098383222,-0.171686971,0.000016944,0.000010535,0.000032255,0.000129601,-0.000090258,0.000014991
9.793826137,1789526650.148422241,-0.114170376,-1.763797108,-1.614147965,-4.646357719,4.748828888,-3.274220530,0.521468833,-0.226046490,0.523832130,2.151435347,-2.098372029,-0.171718619,0.000016945,0.000010535,0.000032254,0.000129601,-0.000090260,0.000014986
9.801825234,1789526650.156421185,-0.114157979,-1.763785187,-1.614147965,-4.646417562,4.748793125,-3.274196450,0.521463060,-0.226035759,0.523846264,2.151414951,-2.098380986,-0.171804778,0.000016759,0.000008779,0.000032312,0.000110820,-0.000088176,0.000018229
9.809794799,1789526650.164390564,-0.114170376,-1.763785187,-1.614112202,-4.646381799,4.748853207,-3.274196450,0.521469506,-0.226048819,0.523857035,2.151409752,-2.098393999,-0.171665361,0.000016759,0.000008779,0.000032312,0.000110818,-0.000088175,0.000018238
9.817775301,1789526650.172371149,-0.114206139,-1.763785187,-1.614159886,-4.646369640,4.748805046,-3.274196450,0.521453018,-0.226062053,0.523835010,2.151377770,-2.098445238,-0.171756605,0.000016761,0.000008778,0.000032312,0.000110815,-0.000088181,0.000018234
9.825801734,1789526650.180397511,-0.114146058,-1.763809029,-1.614147965,-4.646393720,4.748828888,-3.274196450,0.521476466,-0.226034075,0.523830315,2.151411456,-2.098346305,-0.171769016,0.000016760,0.000008779,0.000032312,0.000110821,-0.000088173,0.000018229
9.833814097,1789526650.188409805,-0.114170376,-1.763809029,-1.614112202,-4.646405641,4.748805046,-3.274232451,0.521477653,-0.226045304,0.523847017,2.151447499,-2.098362007,-0.171770742,0.000016354,0.000008780,0.000035307,0.000120804,0.000000746,0.000018453
9.841787489,1789526650.196383238,-0.114182297,-1.763809029,-1.614147965,-4.646465484,4.748805046,-3.274232451,0.521463425,-0.226050248,0.523839550,2.151390749,-2.098327889,-0.171882266,-0.000311644,0.000041383,0.000762505,0.001159871,0.009267961,0.000043304
9.849788480,1789526650.204384327,-0.114182297,-1.763832871,-1.614147965,-4.646537487,4.748816967,-3.274208609,0.521467584,-0.226051874,0.523835958,2.151314952,-2.098298031,-0.171978954,-0.000226245,0.000030505,0.000605956,0.001006748,0.008069534,0.000043045
9.857873158,1789526650.212469339,-0.114170376,-1.763856713,-1.614147965,-4.646597091,4.748805046,-3.274196450,0.521475546,-0.226045192,0.523830688,2.151280040,-2.098263286,-0.172084385,0.000250008,-0.000026032,0.000044598,0.001548875,0.012871049,0.000051710
9.865817799,1789526650.220413685,-0.114206139,-1.763809029,-1.614171807,-4.646704618,4.748816967,-3.274220530,0.521436136,-0.226061422,0.523860448,2.151225781,-2.098229116,-0.172175358,0.000126454,-0.000010355,0.000136009,0.001182480,0.009612710,0.000044515
9.873831055,1789526650.228426933,-0.114146058,-1.763856713,-1.614171807,-4.646776382,4.748805046,-3.274232451,0.521463495,-0.226030612,0.523843791,2.151248936,-2.098098032,-0.172319927,-0.000986952,0.000113918,0.001872810,0.001669543,0.014015209,0.000062559
9.881910222,1789526650.236506224,-0.114194218,-1.763916318,-1.614136044,-4.646872226,4.748828888,-3.274232451,0.521476322,-0.226060701,0.523839108,2.151134028,-2.098077962,-0.172440033,0.000849840,-0.000099493,-0.000540744,0.002730935,0.023357102,0.000073494
9.889826145,1789526650.244422197,-0.114170376,-1.763880555,-1.614147965,-4.647015993,4.748840809,-3.274256531,0.521454945,-0.226046389,0.523872165,2.151123206,-2.097959564,-0.172566752,-0.000221020,0.000024861,0.000872059,0.002131797,0.018086044,0.000067532
9.897914763,1789526650.252510786,-0.114206139,-1.763880555,-1.614124123,-4.647171442,4.748877048,-3.274232451,0.521440387,-0.226067734,0.523902590,2.150983811,-2.097937103,-0.172684688,-0.000789695,0.000077966,0.001744644,0.002211198,0.019832838,0.000095067
9.905803303,1789526650.260399342,-0.114146058,-1.763928239,-1.614147965,-4.647291366,4.748877048,-3.274220530,0.521459373,-0.226037108,0.523882071,2.150942216,-2.097787903,-0.172898278,0.001731215,-0.000464761,-0.001736072,0.000423191,0.027825206,0.000561557
9.913823988,1789526650.268419743,-0.114146058,-1.763988320,-1.614099805,-4.647494737,4.748877048,-3.274220530,0.521478445,-0.226039396,0.523896289,2.150841800,-2.097681123,-0.173146774,-0.000055922,-0.000259651,0.000738364,-0.000052478,0.023685124,0.000563595
9.921812938,1789526650.276408911,-0.114157979,-1.763988320,-1.614147965,-4.647602264,4.748877048,-3.274196450,0.521458334,-0.226043698,0.523889742,2.150730803,-2.097642175,-0.173325061,-0.001306897,-0.000067078,0.002525930,0.000316320,0.022293793,0.000477205
9.929908174,1789526650.284504890,-0.114206139,-1.764036481,-1.614183728,-4.647818033,4.748900890,-3.274244372,0.521443621,-0.226070727,0.523876406,2.150583750,-2.097482948,-0.173657584,0.001357965,-0.000308608,-0.000995926,0.002440762,0.034617461,0.000366266
9.937784040,1789526650.292379856,-0.114170376,-1.764048402,-1.614136044,-4.648057167,4.748912811,-3.274232451,0.521449130,-0.226053006,0.523921295,2.150506998,-2.097347284,-0.173875684,-0.000832413,-0.000548751,0.002045779,-0.003100733,0.032119680,0.001279787
9.945890248,1789526650.300486088,-0.114170376,-1.764096085,-1.614159886,-4.648260538,4.748949051,-3.274184529,0.521448319,-0.226056405,0.523911730,2.150310810,-2.097238880,-0.174152738,0.002081615,-0.000621737,-0.001883775,0.000802879,0.041667161,0.000799967
9.953871420,1789526650.308467388,-0.114146058,-1.764180009,-1.614147965,-4.648523990,4.748924732,-3.274220530,0.521470900,-0.226043581,0.523905301,2.150228288,-2.097022718,-0.174564444,0.000481892,-0.000286402,0.000424469,0.002255768,0.040142616,0.000524964
9.961823084,1789526650.316418886,-0.114134137,-1.764252011,-1.614171807,-4.648810808,4.749008656,-3.274184529,0.521476022,-0.226045605,0.523893502,2.149986088,-2.096806388,-0.174919511,0.001251661,-0.000777691,-0.000622383,-0.001510194,0.044817362,0.001277640
9.969822788,1789526650.324418783,-0.114146058,-1.764347855,-1.614159886,-4.649122421,4.749032974,-3.274208609,0.521491261,-0.226056315,0.523887005,2.149804811,-2.096583665,-0.175355807,0.001247368,-0.000671596,-0.000501279,0.000267054,0.050311533,0.001091877
9.977803310,1789526650.332399130,-0.114157979,-1.764431779,-1.614171807,-4.649493400,4.749068737,-3.274208609,0.521492685,-0.226066546,0.523884602,2.149559060,-2.096343535,-0.175860556,0.000976212,-0.000949880,0.000045597,-0.002220575,0.057269068,0.001683317
9.985877477,1789526650.340473652,-0.114146058,-1.764479939,-1.614208047,-4.649852220,4.749176502,-3.274184529,0.521480667,-0.226068860,0.523889952,2.149291192,-2.096070030,-0.176263210,0.000847125,-0.001021238,0.000361335,-0.002750014,0.061867784,0.001907645
9.993817547,1789526650.348413706,-0.114157979,-1.764635388,-1.614171807,-4.650259439,4.749248505,-3.274208609,0.521517175,-0.226086479,0.523873985,2.149028096,-2.095753423,-0.176804061,0.001669587,-0.001020148,-0.000637554,-0.000999052,0.068154567,0.001701816
10.001824996,1789526650.356421709,-0.114194218,-1.764706914,-1.614196126,-4.650773946,4.749320507,-3.274160449,0.521495357,-0.226110804,0.523891864,2.148622701,-2.095496666,-0.177436146,0.001185092,-0.001167866,-0.000682507,-0.002211270,0.076295680,0.002100702
10.009827832,1789526650.364423752,-0.114134137,-1.764815156,-1.614231888,-4.651264612,4.749404430,-3.274184529,0.521509013,-0.226087567,0.523881870,2.148376369,-2.095038671,-0.178082074,0.001044877,-0.001261418,-0.000317447,-0.003104216,0.082154549,0.000060532
10.017784275,1789526650.372380495,-0.114122216,-1.764922921,-1.614267651,-4.651838724,4.749524117,-3.274148528,0.521505453,-0.226092085,0.523883130,2.147961960,-2.094633401,-0.178787380,0.000051336,-0.000971046,-0.002051224,-0.004427167,0.093097994,0.001306453
10.025822888,1789526650.380418777,-0.114122216,-1.765102688,-1.614303891,-4.652413074,4.749596119,-3.274124686,0.521527895,-0.226101694,0.523844947,2.147534999,-2.094221428,-0.179624988,0.000296981,-0.000939438,-0.000788317,-0.002822854,0.100952696,0.001427458
10.033810280,1789526650.388406277,-0.114134137,-1.765221898,-1.614316289,-4.653071109,4.749739647,-3.274088685,0.521522236,-0.226121272,0.523860984,2.147052581,-2.093791867,-0.180392009,0.000876520,-0.000969388,-0.000101719,-0.002627925,0.106238972,-0.003127729
10.041825923,1789526650.396421909,-0.114122216,-1.765377824,-1.614376370,-4.653813783,4.749811172,-3.274088685,0.521521547,-0.226121765,0.523847638,2.146584683,-2.093257682,-0.181424138,-0.000588660,-0.000993843,-0.002023680,-0.002646091,0.118190351,0.000790710
10.049808889,1789526650.404404640,-0.114098374,-1.765558068,-1.614376370,-4.654579345,4.749979496,-3.274065081,0.521542932,-0.226127224,0.523849930,2.146067861,-2.092682234,-0.182343581,0.000256817,-0.000906188,0.000185700,-0.000793559,0.122628825,0.001714251
10.057773306,1789526650.412369490,-0.114086453,-1.765701596,-1.614435975,-4.655417148,4.750099182,-3.273969237,0.521530596,-0.226130900,0.523856199,2.145436593,-2.092176265,-0.183412260,0.001109346,-0.000378095,0.000582610,-0.001465505,0.124734822,-0.003564316
