group,repeat,wall_time_s,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
1,1,1789523830.369980574,3.014426,6.571711,57.043217,2.247935,2.314767,0.303707
1,1,1789523830.373888493,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.374742031,3.003725,6.591228,56.861716,2.254891,2.320142,0.300994
1,1,1789523830.379012585,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.379849672,2.901156,6.483059,56.861946,2.256831,2.317702,0.301333
1,1,1789523830.383692026,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.384567738,2.883911,6.478249,56.811353,2.254469,2.317837,0.316972
1,1,1789523830.388742208,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.389632940,3.018956,6.519181,57.083196,2.252223,2.316051,0.2998
1,1,1789523830.393748045,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.394387484,2.974658,6.527339,56.882469,2.253141,2.312262,0.301853
1,1,1789523830.398974419,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.400255442,2.931398,6.56093,56.92331,2.248176,2.309143,0.303734
1,1,1789523830.404378891,2.872759,6.56997,56.875316,2.249496,2.316515,0.309562
1,1,1789523830.405207634,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.409154415,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.409977436,2.927715,6.51556,57.117888,2.246519,2.315931,0.304249
1,1,1789523830.414687395,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.415192604,2.978923,6.526408,56.864286,2.254104,2.3157,0.296429
1,1,1789523830.418867826,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.419818401,3.02119,6.604143,56.966433,2.248687,2.320462,0.302626
1,1,1789523830.423767328,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.424588203,2.918997,6.571701,56.820975,2.248822,2.318478,0.298622
1,1,1789523830.428789854,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.429624319,2.852498,6.479387,56.679042,2.252296,2.312876,0.315059
1,1,1789523830.433768511,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.434978247,2.972484,6.522631,56.900691,2.250449,2.313766,0.307916
1,1,1789523830.438833475,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.440658092,3.026664,6.587867,56.539667,2.248942,2.317415,0.309212
1,1,1789523830.443888664,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.445411682,2.871093,6.554088,56.822059,2.254302,2.313647,0.304844
1,1,1789523830.448787689,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.449972153,2.84804,6.479313,56.757692,2.253595,2.311881,0.311608
1,1,1789523830.453959227,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.454505444,3.012002,6.536528,56.947669,2.25198,2.320888,0.315038
1,1,1789523830.458706141,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.459325790,3.021606,6.538664,57.065099,2.254625,2.320036,0.294362
1,1,1789523830.463873386,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.464484692,2.904975,6.548933,56.791269,2.25186,2.314563,0.303153
1,1,1789523830.468799114,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.469614744,2.959588,6.553785,56.824915,2.247327,2.315505,0.307095
1,1,1789523830.474876881,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.475704670,2.960665,6.515116,56.926218,2.246773,2.319046,0.307036
1,1,1789523830.479970217,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.480475903,2.972749,6.51022,57.03415,2.247936,2.31808,0.298444
1,1,1789523830.483760595,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.484573841,3.015773,6.590248,56.757961,2.250324,2.318061,0.29991
1,1,1789523830.488668919,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.489679098,2.991202,6.569112,56.924715,2.246645,2.317152,0.30558
1,1,1789523830.493894339,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.495387554,2.844465,6.497758,56.939585,2.253704,2.313219,0.308935
1,1,1789523830.499370813,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.500175953,2.866436,6.538591,56.946924,2.251035,2.311373,0.307282
1,1,1789523830.504151106,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.504713297,3.020777,6.594148,56.878828,2.246178,2.315145,0.305663
1,1,1789523830.509305000,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.509858370,3.019649,6.609444,56.576909,2.244932,2.317919,0.309227
