group,repeat,wall_time_s,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
1,1,1789523726.319906235,2.877691,6.53458,56.866781,2.254804,2.315519,0.310066
1,1,1789523726.323997498,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.324655533,2.889343,6.516883,56.640335,2.256967,2.318217,0.314445
1,1,1789523726.329136372,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.330302000,2.892337,6.542656,56.818918,2.253021,2.31445,0.309059
1,1,1789523726.334464788,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.335410833,2.927346,6.471378,56.883067,2.258421,2.316329,0.308965
1,1,1789523726.340117931,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.340855837,3.033853,6.549484,56.878207,2.250308,2.31933,0.305915
1,1,1789523726.344756126,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.345755339,2.997233,6.571449,56.872678,2.249573,2.313119,0.307548
1,1,1789523726.349925280,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.351228476,2.970571,6.616462,56.996687,2.250368,2.317567,0.297621
1,1,1789523726.354860067,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.356672525,2.874706,6.597253,56.829469,2.247206,2.31113,0.3032
1,1,1789523726.360136747,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.362737894,2.804763,6.49685,56.740128,2.24987,2.304935,0.311433
1,1,1789523726.364949942,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.367148638,2.818194,6.437616,56.954369,2.253013,2.309855,0.312448
1,1,1789523726.369995832,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.371378183,2.934894,6.506469,56.844139,2.243046,2.312079,0.313489
1,1,1789523726.374999046,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.376255989,3.012119,6.529778,56.746283,2.249879,2.313215,0.310301
1,1,1789523726.380017042,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.381394148,3.049232,6.619315,56.674109,2.242186,2.316326,0.305705
1,1,1789523726.385004997,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.386385918,2.901838,6.629641,56.919953,2.245292,2.307515,0.301009
1,1,1789523726.390230179,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.391694307,2.906939,6.600586,56.71332,2.247243,2.317046,0.300921
1,1,1789523726.395408154,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.396408319,2.791339,6.61096,56.851071,2.241525,2.299949,0.303844
1,1,1789523726.399969816,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.401046038,2.829213,6.480085,56.971998,2.253971,2.309564,0.305464
1,1,1789523726.404847145,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.406004190,2.831637,6.529552,56.86282,2.246345,2.305877,0.318668
1,1,1789523726.410144567,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.411220312,2.934929,6.498728,56.807111,2.248044,2.31502,0.313909
1,1,1789523726.415290356,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.416284323,3.001059,6.562391,57.042761,2.244215,2.314962,0.297442
1,1,1789523726.422018290,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.422971487,2.969392,6.573875,56.851984,2.24905,2.310121,0.299736
1,1,1789523726.425235510,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.426656485,2.933637,6.53968,56.682593,2.256121,2.319428,0.305645
1,1,1789523726.430401087,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.431844234,2.871419,6.580069,56.666148,2.248446,2.318005,0.312825
1,1,1789523726.435544014,2.892676,6.542214,56.874745,2.252687,2.314992,0.309134
1,1,1789523726.436915398,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.440349579,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.441755056,2.895935,6.475652,56.733038,2.261144,2.310748,0.313557
1,1,1789523726.445377350,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.446810484,2.992081,6.49274,56.885691,2.257189,2.327509,0.311895
1,1,1789523726.450197458,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.451113701,3.004928,6.473236,57.011329,2.253136,2.318618,0.30806
1,1,1789523726.455132961,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.456125259,3.021931,6.574507,56.869348,2.255113,2.319023,0.299877
1,1,1789523726.460147142,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.461063385,2.951392,6.614875,56.817757,2.253273,2.316695,0.302132
1,1,1789523726.465145350,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.466300488,2.932009,6.584503,56.966389,2.249724,2.320325,0.302598
1,1,1789523726.470340252,2.897407,6.47771,56.449935,2.252499,2.316461,0.317769
1,1,1789523726.471783876,2.839546,6.562705,56.852548,2.25001,2.307322,0.311892
1,1,1789523726.475369453,2.924716,6.537888,56.798639,2.251231,2.314654,0.308066
1,1,1789523726.476804018,2.880709,6.456485,56.770114,2.259133,2.313162,0.313859
1,1,1789523726.480224848,3.003415,6.57523,56.537209,2.25,2.317976,0.307701
1,1,1789523726.481259346,2.907997,6.523162,56.873795,2.249953,2.313033,0.308446
1,1,1789523726.486125708,2.991014,6.57629,56.897321,2.256521,2.321929,0.30019
1,1,1789523726.487425566,2.977473,6.548682,56.854434,2.2462,2.315653,0.308223
1,1,1789523726.490746737,2.9222,6.508173,56.550887,2.251874,2.320296,0.311085
