group,repeat,wall_time_s,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
1,1,1789524052.594869137,3.058807,6.612516,57.315875,2.242981,2.317422,0.293615
1,1,1789524052.595578194,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.598960876,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.599681139,2.937408,6.576559,57.029904,2.250814,2.31837,0.30136
1,1,1789524052.600192547,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.603864670,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.604593992,2.918021,6.513394,57.213974,2.252953,2.316883,0.300184
1,1,1789524052.605277777,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.610247135,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.610784054,3.035761,6.522786,57.072171,2.254214,2.321515,0.305336
1,1,1789524052.611197710,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.613781452,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.614448547,3.071716,6.578524,57.269746,2.25156,2.320691,0.288219
1,1,1789524052.615163803,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.618744850,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.619373798,2.983736,6.588408,57.123018,2.24582,2.315865,0.2951
1,1,1789524052.619822502,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.624506712,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.625233650,2.885913,6.534143,56.724144,2.249593,2.310553,0.313651
1,1,1789524052.625925064,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.628758430,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.629499674,2.991798,6.562901,57.073178,2.246173,2.316955,0.305349
1,1,1789524052.630052567,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.633755445,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.634932995,3.06504,6.59334,57.330237,2.244801,2.319716,0.291179
1,1,1789524052.635574818,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.638931513,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.639905453,3.037855,6.590538,57.131949,2.245088,2.314587,0.300839
1,1,1789524052.640332699,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.643736601,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.644459009,2.908756,6.597184,57.26399,2.244224,2.314938,0.301928
1,1,1789524052.645158768,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.648911476,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.649635077,2.907916,6.55334,57.029777,2.246131,2.315938,0.307253
1,1,1789524052.650316000,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.653730631,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.654466867,2.997238,6.53002,57.324512,2.245718,2.312301,0.299034
1,1,1789524052.655175447,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.658826351,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.659563065,3.055935,6.59925,57.1142,2.244281,2.31508,0.301435
1,1,1789524052.660021067,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.664149284,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.665225029,2.991029,6.616136,57.273432,2.243549,2.319175,0.290309
1,1,1789524052.665775061,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.668835163,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.669581413,2.853605,6.540702,56.998437,2.249191,2.314999,0.304882
1,1,1789524052.670165777,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.673702240,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.674387932,2.981309,6.526832,57.336615,2.247943,2.314675,0.301103
1,1,1789524052.675043583,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.678970337,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.679702997,3.089204,6.561421,57.116339,2.249494,2.317523,0.297179
1,1,1789524052.680146933,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.684983492,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.685736418,3.028613,6.571049,57.305508,2.249202,2.317798,0.293067
1,1,1789524052.686477423,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.688960552,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.690093279,2.926809,6.54697,57.113019,2.254994,2.316985,0.300893
1,1,1789524052.690645456,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
