sample_index,wall_time_s,tcp_x_m,tcp_y_m,tcp_z_m,tcp_rx_rad,tcp_ry_rad,tcp_rz_rad,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
1,1789436460.349929333,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.929292,23.535356,7.920455,-1.807152,0.388232,-3.130302
1,1789436460.354663610,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.907494,23.569605,7.793573,-1.805349,0.385568,-3.134715
1,1789436460.359840870,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.925538,23.531332,7.810321,-1.804972,0.384859,-3.135797
1,1789436460.366189003,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.943273,23.506626,8.000829,-1.80782,0.389484,-3.138261
1,1789436460.369652510,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.930441,23.508321,7.823369,-1.800976,0.390648,-3.132629
1,1789436460.374639034,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.932811,23.529382,7.743794,-1.805025,0.389458,-3.130101
1,1789436460.379740953,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.962776,23.545345,7.714367,-1.804721,0.389856,-3.131114
1,1789436460.384875059,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.932209,23.536232,7.883264,-1.804548,0.389998,-3.130131
1,1789436460.389857531,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.943995,23.508322,7.681711,-1.806183,0.387765,-3.128168
1,1789436460.394672394,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.945016,23.525959,7.855167,-1.805778,0.38627,-3.136672
1,1789436460.399890900,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.912703,23.533509,7.911051,-1.803285,0.384219,-3.136962
1,1789436460.404486656,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.93945,23.54387,7.852077,-1.804071,0.38707,-3.132645
1,1789436460.409551144,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.916934,23.540075,7.902576,-1.80703,0.384453,-3.130289
1,1789436460.414861202,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.956053,23.531588,7.766905,-1.802444,0.387824,-3.133451
1,1789436460.420373917,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.968732,23.530664,7.811229,-1.802165,0.388828,-3.134758
1,1789436460.424650192,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.960363,23.51775,7.976395,-1.804057,0.389597,-3.136076
1,1789436460.429686308,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.949217,23.51853,7.805056,-1.80694,0.387424,-3.12667
1,1789436460.434807777,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.938512,23.546681,7.771437,-1.809815,0.387106,-3.130557
1,1789436460.439509869,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.947566,23.540935,7.795817,-1.805769,0.386351,-3.132968
1,1789436460.444693565,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.912748,23.542155,7.887965,-1.805664,0.387509,-3.13345
1,1789436460.449732065,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.940593,23.529868,7.604248,-1.806653,0.385432,-3.130529
1,1789436460.454729557,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.964807,23.534798,7.802284,-1.803999,0.388549,-3.134554
1,1789436460.459625721,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.928326,23.530398,7.871357,-1.805002,0.38698,-3.132138
1,1789436460.464828014,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.975674,23.537592,7.790185,-1.806545,0.389754,-3.130134
1,1789436460.469631195,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.957209,23.547252,7.796594,-1.804357,0.38611,-3.132534
1,1789436460.474582195,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.948118,23.551049,8.018899,-1.806489,0.390578,-3.138739
1,1789436460.479583979,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.920512,23.546508,7.812813,-1.806871,0.386602,-3.134029
1,1789436460.484682560,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.94086,23.554893,7.785655,-1.804453,0.389978,-3.133221
1,1789436460.489547968,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.959931,23.52582,7.564383,-1.806781,0.385748,-3.132189
1,1789436460.494589806,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,22.005595,23.52081,7.919795,-1.802142,0.390766,-3.136464
1,1789436460.499677658,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.95535,23.533289,7.666704,-1.807575,0.388926,-3.125788
1,1789436460.504678965,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.971577,23.528628,7.828345,-1.803822,0.391172,-3.135432
1,1789436460.509789467,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.909236,23.554714,7.915134,-1.807309,0.38647,-3.134096
1,1789436460.514970064,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.936043,23.542146,7.773051,-1.803771,0.386992,-3.135662
1,1789436460.519688606,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.941338,23.528456,7.822306,-1.804741,0.388725,-3.133583
1,1789436460.524807692,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.929328,23.516162,7.991652,-1.805964,0.387753,-3.138462
1,1789436460.529614925,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.971457,23.511079,7.830942,-1.805208,0.387333,-3.134052
1,1789436460.534698009,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.954511,23.52319,7.672009,-1.804902,0.386573,-3.128652
1,1789436460.539573908,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.96666,23.543626,7.63005,-1.807663,0.391451,-3.131266
1,1789436460.544659138,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.957235,23.542357,7.911532,-1.806389,0.389824,-3.135982
1,1789436460.552208185,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.930472,23.565265,7.707311,-1.803235,0.38852,-3.129949
1,1789436460.554990768,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.889389,23.524338,7.826289,-1.802474,0.387133,-3.131212
1,1789436460.559985638,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.94529,23.531865,7.931343,-1.806938,0.386981,-3.13546
1,1789436460.564873219,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.96352,23.55543,7.771517,-1.80612,0.387054,-3.13059
1,1789436460.569762230,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.951362,23.501226,7.783349,-1.80248,0.387625,-3.134728
1,1789436460.574954748,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.935583,23.525612,7.958537,-1.808349,0.387221,-3.135854
1,1789436460.579951525,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.94854,23.572271,7.818621,-1.808604,0.38866,-3.130089
1,1789436460.584877253,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.944586,23.53868,7.810215,-1.80582,0.38677,-3.12958
1,1789436460.589764833,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.934642,23.554157,7.843777,-1.80544,0.387348,-3.131997
1,1789436460.594672680,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.911556,23.510829,7.895262,-1.803803,0.384646,-3.134945
1,1789436460.599585533,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.939644,23.541772,7.850652,-1.803465,0.389283,-3.133325
1,1789436460.604413748,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.931064,23.546988,7.77572,-1.805918,0.385438,-3.13409
1,1789436460.609613419,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.967268,23.536626,7.86559,-1.805257,0.38776,-3.135818
